time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-04T11:06:32.954Z,56.8886,-156.2848,67.6,3.3,ml,,,,0.81,ak,ak021cqag99v,2021-10-04T11:20:18.040Z,"96 km SE of Ugashik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-04T09:52:19.647Z,61.1534,-149.7831,14.2,2.7,ml,,,,0.82,ak,ak021cq9j82s,2021-10-04T11:02:02.053Z,"9 km SE of Anchorage, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-04T08:42:01.420Z,19.1603336334229,-155.445831298828,31.0599994659424,2.9,ml,12,215,,0.140000001,hv,hv72739697,2021-10-04T08:47:31.020Z,"5 km SE of Pāhala, Hawaii",earthquake,1.51,1.75,0.88,6,automatic,hv,hv
2021-10-04T08:30:41.870Z,17.9428,-66.933,14,2.73,md,24,197,0.0628,0.11,pr,pr2021277001,2021-10-04T09:02:55.450Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.3,0.37,0.21,5,reviewed,pr,pr
2021-10-04T07:38:45.468Z,44.3153,-115.0503,10,2.6,ml,,64,0.882,0.45,us,us6000fri5,2021-10-04T08:05:38.202Z,"14 km NW of Stanley, Idaho",earthquake,3.5,2,0.038,92,reviewed,us,us
2021-10-04T06:34:14.106Z,-30.0032,-177.513,29.18,5.5,mww,,70,0.819,0.62,us,us6000frhs,2021-10-04T08:37:42.899Z,"Kermadec Islands, New Zealand",earthquake,8.6,4.4,0.089,12,reviewed,us,us
2021-10-04T06:07:51.418Z,24.7308,122.2169,10,4.9,mb,,42,0.697,0.3,us,us6000frhj,2021-10-04T10:30:22.471Z,"47 km E of Yilan, Taiwan",earthquake,5.9,1.9,0.078,51,reviewed,us,us
2021-10-04T05:30:38.795Z,59.8121,-153.055,94.2,2.7,ml,,,,0.6,ak,ak021cq70t88,2021-10-04T07:54:52.040Z,"59 km E of Pedro Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-04T05:00:28.917Z,31.61125727,-104.2558106,6.954223633,3.1,ml,31,70,0.1676903693,0.3,tx,tx2021tkqu,2021-10-04T05:23:27.095Z,"54 km NW of Toyah, Texas",earthquake,0.9314931343000001,1.267658186,0.2,32,reviewed,tx,tx
2021-10-04T04:12:41.827Z,-46.9873,33.7042,10,5.2,mb,,52,14.786,0.98,us,us6000frgg,2021-10-04T04:29:40.040Z,"Prince Edward Islands region",earthquake,11.9,1.9,0.095,36,reviewed,us,us
2021-10-04T03:54:06.896Z,-60.4245,-27.5085,10,6.2,mww,,45,7.834,0.92,us,us6000frfw,2021-10-04T05:58:32.408Z,"South Sandwich Islands region",earthquake,8.8,1.8,0.093,11,reviewed,us,us
2021-10-04T03:24:19.966Z,30.3397,94.816,10,4.9,mb,,72,6.103,0.66,us,us6000frfq,2021-10-04T03:46:52.040Z,"205 km NNE of Shi Yomi, India",earthquake,9.8,1.9,0.064,77,reviewed,us,us
2021-10-04T03:18:30.689Z,44.2819,-115.0455,15.47,3,ml,,66,0.851,0.55,us,us6000frfm,2021-10-04T05:00:08.237Z,"11 km NW of Stanley, Idaho",earthquake,2.3,10.5,0.034,116,reviewed,us,us
2021-10-04T03:07:58.194Z,44.2567,-115.0165,14.67,2.5,ml,,68,0.819,0.77,us,us6000frfb,2021-10-04T03:24:13.040Z,"7 km NW of Stanley, Idaho",earthquake,1.7,10.3,0.041,80,reviewed,us,us
2021-10-04T02:58:14.022Z,38.6894,-97.4778,5,3.8,mb,,75,0.749,0.53,us,us6000frf8,2021-10-04T11:56:23.360Z,"4 km WSW of Gypsum, Kansas",earthquake,3.2,2,0.127,16,reviewed,us,us
2021-10-04T02:56:21.150Z,44.3325,-115.0648,8.58,2.6,ml,,77,0.902,0.7,us,us6000frf4,2021-10-04T03:36:54.128Z,"southern Idaho",earthquake,3.1,10.5,0.042,76,reviewed,us,us
2021-10-04T02:39:27.680Z,32.2712,49.7515,10,5.6,mww,,23,4.398,1.07,us,us6000frf2,2021-10-04T08:24:05.155Z,"56 km NE of Masjed Soleymān, Iran",earthquake,4.9,1.8,0.093,11,reviewed,us,us
2021-10-04T00:35:19.804Z,-33.1534,-177.6429,10,4.4,mb,,215,3.886,0.52,us,us6000fren,2021-10-04T03:02:24.040Z,"south of the Kermadec Islands",earthquake,12.4,2,0.269,4,reviewed,us,us
2021-10-04T00:19:49.360Z,58.7852,-144.1368,43.1,2.5,ml,,,,1.95,ak,ak021cq3zb2x,2021-10-04T00:25:19.245Z,"216 km SSE of Cordova, Alaska",earthquake,,16.8,,,automatic,ak,ak
2021-10-03T22:55:31.609Z,59.4418,-146.9114,10.6,2.8,ml,,,,0.81,ak,ak021cotr5ev,2021-10-03T23:06:19.040Z,"93 km SE of Chenega, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-03T22:05:49.504Z,5.9676,126.1482,126.37,4.4,mb,,108,1.232,0.9,us,us6000frdy,2021-10-03T22:21:03.040Z,"43 km S of Pondaguitan, Philippines",earthquake,10.8,8.1,0.12,20,reviewed,us,us
2021-10-03T21:31:00.451Z,-24.2071,-67.3074,201.38,4.6,mb,,120,1.483,0.39,us,us6000frdq,2021-10-03T21:46:58.040Z,"100 km W of San Antonio de los Cobres, Argentina",earthquake,11.1,9.8,0.182,9,reviewed,us,us
2021-10-03T21:10:00.195Z,11.1059,-86.823,35,4.9,mb,,165,1.179,0.77,us,us6000frdl,2021-10-03T21:33:44.040Z,"82 km SSW of Masachapa, Nicaragua",earthquake,5.4,2,0.028,406,reviewed,us,us
2021-10-03T20:45:23.060Z,19.2071666717529,-155.395172119141,32.0400009155273,2.52,ml,47,157,,0.129999995,hv,hv72739052,2021-10-03T20:50:54.030Z,"8 km E of Pāhala, Hawaii",earthquake,0.47,0.629999995,3.83,22,automatic,hv,hv
